Date,Sensex,WIPRO.BO,BAJAJ-AUTO.BO,HDFCBANK.BO,HEROMOTOCO.BO,TCS.BO,INFY.BO,BAJFINANCE.BO,MARUTI.BO,RELIANCE.BO,TATAMOTORS.BO,ZOMATO.BO,ZEEL.BO,TVSMOTOR.BO,PIDILITIND.BO,NAUKRI.BO,IRCTC.BO,DLF.BO,COLPAL.BO,MFSL.BO,BANKBARODA.BO
2020-09-29,37973.21875,311.3999938964844,2898.89990234375,1062.5,3175.85009765625,2487.25,1010.25,3293.10009765625,6738.60009765625,2244.85009765625,131.6999969482422,,207.75,470.3500061035156,1426.4000244140625,3628.199951171875,276.6300048828125,154.75,1417.4000244140625,604.75,41.349998474121094
2020-09-30,38067.9296875,313.6000061035156,2879.5,1079.199951171875,3145.85009765625,2491.5,1008.0,3277.25,6742.85009765625,2233.75,133.3000030517578,,209.0,468.45001220703125,1432.050048828125,3630.35009765625,276.4200134277344,152.5500030517578,1432.550048828125,612.3499755859375,41.04999923706055
2020-10-01,38697.05078125,313.0,2985.75,1106.5999755859375,3151.699951171875,2522.75,1017.7000122070312,3444.050048828125,6794.0498046875,2225.050048828125,133.5,,214.0500030517578,480.1000061035156,1462.4000244140625,3603.800048828125,275.9800109863281,155.75,1438.8499755859375,618.0999755859375,41.900001525878906
2020-10-05,38973.69921875,334.04998779296875,2952.85009765625,1114.1500244140625,3128.699951171875,2706.85009765625,1048.199951171875,3379.85009765625,6816.85009765625,2211.14990234375,133.89999389648438,,208.25,473.29998779296875,1446.75,3487.10009765625,275.1099853515625,159.3000030517578,1451.25,611.75,41.599998474121094
2020-10-06,39574.5703125,330.0,2973.050048828125,1144.199951171875,3138.699951171875,2716.14990234375,1055.75,3474.39990234375,6890.39990234375,2210.14990234375,144.85000610351562,,216.9499969482422,470.70001220703125,1470.4000244140625,3463.699951171875,272.6700134277344,162.8000030517578,1428.050048828125,621.0,42.04999923706055
2020-10-07,39878.94921875,335.25,3077.35009765625,1162.0,3232.699951171875,2737.39990234375,1066.550048828125,3331.199951171875,7047.75,2257.14990234375,141.0,,206.0500030517578,478.6499938964844,1493.9000244140625,3459.050048828125,271.6099853515625,158.75,1436.300048828125,609.5,41.45000076293945
2020-10-08,40182.671875,359.45001220703125,3076.699951171875,1191.9000244140625,3278.050048828125,2824.800048828125,1094.0,3325.800048828125,7082.4501953125,2238.89990234375,140.89999389648438,,205.8000030517578,475.20001220703125,1484.8499755859375,3457.10009765625,271.1600036621094,159.64999389648438,1451.0999755859375,606.0499877929688,42.650001525878906
2020-10-09,40509.48828125,374.1000061035156,3058.300048828125,1233.699951171875,3330.35009765625,2814.949951171875,1107.550048828125,3317.699951171875,7061.64990234375,2233.699951171875,138.4499969482422,,200.6999969482422,471.3999938964844,1472.550048828125,3457.10009765625,270.20001220703125,156.89999389648438,1461.699951171875,601.6500244140625,44.29999923706055
2020-10-12,40593.80078125,377.54998779296875,3026.10009765625,1213.4000244140625,3283.199951171875,2831.199951171875,1132.300048828125,3325.10009765625,7137.5498046875,2236.60009765625,135.85000610351562,,189.8000030517578,468.20001220703125,1479.699951171875,3476.14990234375,266.9100036621094,155.89999389648438,1442.699951171875,588.3499755859375,41.900001525878906
2020-10-13,40625.51171875,375.75,3034.85009765625,1198.1500244140625,3288.300048828125,2825.64990234375,1158.0,3273.199951171875,7031.85009765625,2280.25,134.10000610351562,,182.4499969482422,461.29998779296875,1483.300048828125,3590.75,267.3299865722656,155.0500030517578,1449.699951171875,585.8499755859375,41.29999923706055
